"artist";"year";"song_name";"lyrics";"lyrics_cleaned"
"Pandang";2006;"Kuddkrig";"Ända sen jag tappa första tanden
I gungan hos dagismamman
Ville jag va speciell och inte som de andra barnen
Jag hade säkert byggt tiotusen sandslott
Men ändå fick jag mosade bananer inte tacos
(Nu ser jag livet från ett annat perspektiv)
Vem är du, vem är jag, bara se mig
(Läser hela världen utantill)
Här är jag, där är du, är du med mig?
Turtles-gubbar rullade runt bland unga dumma ungar med klubba
För liten för att köra bil, inte göra som jag vill
Men trots den lilla kid jag är så lever jag mitt liv
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Nu är det brudar och körkort
Ställer mig muntert över maten på faten
Det är bara nudlar och bönor
Där sitter jag med fruga och söner
I en stuga på söder
Jag undrar vart det busiga barnet i kroppen tog vägen
Men
(Nu ser jag livet från ett annat perspektiv)
Vem är du, vem är jag, bara se mig
(Läser hela världen utantill)
Här är jag, där är du, är du med mig?
Volvobilar, rullade runt bland slips, kavaj, cigarrer och gubbar
För gammal för Stureplan, aldrig mer ett busigt barn
Trots en vuxen attityd så håller jag mitt liv igång
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Ung eller gammal struntsamma
Vi är bundna tillsammans
Alla bara greppar kuddar och kasta
Ung eller gammal struntsamma
Vi är bundna tillsammans
Struntsumma låt oss sjunga tillsammans
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Ung eller gammal struntsamma
Vi är bundna tillsammans
Ung eller gammal struntsamma
Vi är bundna tillsammans
Ung eller gammal struntsamma
Vi är bundna tillsammans
Ung eller gammal struntsamma
Vi är bundna tillsammans
Alla bara greppar kuddar och kasta!
Jag vet!";"Ända sen jag tappa första tanden
I gungan hos dagismamman
Ville jag va speciell och inte som de andra barnen
Jag hade säkert byggt tiotusen sandslott
Men ändå fick jag mosade bananer inte tacos
(Nu ser jag livet från ett annat perspektiv)
Vem är du, vem är jag, bara se mig
(Läser hela världen utantill)
Här är jag, där är du, är du med mig?
Turtles-gubbar rullade runt bland unga dumma ungar med klubba
För liten för att köra bil, inte göra som jag vill
Men trots den lilla kid jag är så lever jag mitt liv
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Nu är det brudar och körkort
Ställer mig muntert över maten på faten
Det är bara nudlar och bönor
Där sitter jag med fruga och söner
I en stuga på söder
Jag undrar vart det busiga barnet i kroppen tog vägen
Men
(Nu ser jag livet från ett annat perspektiv)
Vem är du, vem är jag, bara se mig
(Läser hela världen utantill)
Här är jag, där är du, är du med mig?
Volvobilar, rullade runt bland slips, kavaj, cigarrer och gubbar
För gammal för Stureplan, aldrig mer ett busigt barn
Trots en vuxen attityd så håller jag mitt liv igång
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Ung eller gammal struntsamma
Vi är bundna tillsammans
Alla bara greppar kuddar och kasta
Ung eller gammal struntsamma
Vi är bundna tillsammans
Struntsumma låt oss sjunga tillsammans
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa alla tillsammans
Ta min hand och na-na-nanana
Jag vet, om vi kommer igång
Kasta kuddar, natten är lång
Dansa salsa, dansa salsa
Ta min hand och na-na-nanana
Ung eller gammal struntsamma
Vi är bundna tillsammans
Ung eller gammal struntsamma
Vi är bundna tillsammans
Ung eller gammal struntsamma
Vi är bundna tillsammans
Ung eller gammal struntsamma
Vi är bundna tillsammans
Alla bara greppar kuddar och kasta!
Jag vet!"
"Hannah Graaf";2006;"Naughty Boy";"(Na na na na na na na)
(Na na na na na na)
(Na na na na na na na)
(Na na na na na na)
Princes can be nice
If that's what you desire
And some girls like 'em hard to get
And some girls throw the dice
Any shape or size
Anywhere you like
Look around and you will see
It's a lovers paradise
But if you wanna a little taste of everything
When you're cooking in a pot
A bit of this, a bit of that
You know when you've got
A naughty, naughty, naughty boy
Watch him dancing on the floor
Up and down, it's all around
Hits you baby right on time
A naughty, naughty, naughty boy
Love you, tease you and adore
I guarantee that you'll enjoy
'Cause he's just a naughty boy
I'm not colour-blind
The way that I desire
Only one thing that I see
Is the twinkle in their eyes
But if you wanna a little taste of everything
And you like it when it's hot
A bit of this, a bit of that
You know when you've got
A naughty, naughty, naughty boy
Watch him dancing on the floor
Up and down, it's all around
Hits you baby right on time
A naughty, naughty, naughty boy
Love you, tease you and adore
I guarantee that you'll enjoy
'Cause he's just a naughty boy
(Na na na na na na na)
(Na na na na na na)
Uh
(Na na na na na na na)
(Na na na na na na)
'Cause if you wanna a little taste of everything
When you're cooking in a pot
A bit of this, a bit of that
You know when you've got
A naughty boy
(Naughty, naughty, naughty boy)
(Watch him dancing on the floor)
Up and down, it's all around
Hits you baby right on time
A naughty, naughty, naughty boy
Love you, tease you and adore
I guarantee that you'll enjoy
'Cause he's just a naughty boy
He's just a naughty boy
A naughty boy";"(Na na na na na na na)
(Na na na na na na)
(Na na na na na na na)
(Na na na na na na)
Princes can be nice
If that's what you desire
And some girls like 'em hard to get
And some girls throw the dice
Any shape or size
Anywhere you like
Look around and you will see
It's a lovers paradise
But if you wanna a little taste of everything
When you're cooking in a pot
A bit of this, a bit of that
You know when you've got
A naughty, naughty, naughty boy
Watch him dancing on the floor
Up and down, it's all around
Hits you baby right on time
A naughty, naughty, naughty boy
Love you, tease you and adore
I guarantee that you'll enjoy
'Cause he's just a naughty boy
I'm not colour-blind
The way that I desire
Only one thing that I see
Is the twinkle in their eyes
But if you wanna a little taste of everything
And you like it when it's hot
A bit of this, a bit of that
You know when you've got
A naughty, naughty, naughty boy
Watch him dancing on the floor
Up and down, it's all around
Hits you baby right on time
A naughty, naughty, naughty boy
Love you, tease you and adore
I guarantee that you'll enjoy
'Cause he's just a naughty boy
(Na na na na na na na)
(Na na na na na na)
Uh
(Na na na na na na na)
(Na na na na na na)
'Cause if you wanna a little taste of everything
When you're cooking in a pot
A bit of this, a bit of that
You know when you've got
A naughty boy
(Naughty, naughty, naughty boy)
(Watch him dancing on the floor)
Up and down, it's all around
Hits you baby right on time
A naughty, naughty, naughty boy
Love you, tease you and adore
I guarantee that you'll enjoy
'Cause he's just a naughty boy
He's just a naughty boy
A naughty boy"
"Andreas Johnson";2006;"Sing for Me";"Staring at a photograph
Of where we used to be
When the sky was bright
And crystal clear
And life was just a breeze, oh well
There's somethings taking you over
You burned all your bridges
And you left without a clue
And you wonder why these memories
Keeps staring back at you, oh well
Now don't look over you shoulder
Sing for life, sing for joy
Sing for every man and woman
Girl and boy
Sing a song, a simple melody
Sing out loud or just hum
Sing for moments in the past
And times to come
Sing for history and destiny
Won't you sing for me?
Standing at the station
And you don't know where to go
You're trying hard to hold on to
The world you used to know, oh well
Don't let it get to you baby
Sing for life, sing for joy
Sing for every man and woman
Girl and boy
Sing a song, a simple melody
Sing out loud or just hum
Sing for moments in the past
And times to come
Sing for history and destiny
Won't you sing for me?
Don't look back
Just keep moving on
Get your feel and walk
Into a different song
Don't care what they
Say just let the music play
Heeeey
Won't you sing for me?
Sing for me
Sing for me
Sing for life, sing for joy
Sing for every man and woman
Girl and boy
Sing a song, a simple melody
Sing out loud or just hum
Sing for moments in the past
And times to come
Sing for history and destiny
Won't you sing for me?
Sing for me";"Staring at a photograph
Of where we used to be
When the sky was bright
And crystal clear
And life was just a breeze, oh well
There's somethings taking you over
You burned all your bridges
And you left without a clue
And you wonder why these memories
Keeps staring back at you, oh well
Now don't look over you shoulder
Sing for life, sing for joy
Sing for every man and woman
Girl and boy
Sing a song, a simple melody
Sing out loud or just hum
Sing for moments in the past
And times to come
Sing for history and destiny
Won't you sing for me?
Standing at the station
And you don't know where to go
You're trying hard to hold on to
The world you used to know, oh well
Don't let it get to you baby
Sing for life, sing for joy
Sing for every man and woman
Girl and boy
Sing a song, a simple melody
Sing out loud or just hum
Sing for moments in the past
And times to come
Sing for history and destiny
Won't you sing for me?
Don't look back
Just keep moving on
Get your feel and walk
Into a different song
Don't care what they
Say just let the music play
Heeeey
Won't you sing for me?
Sing for me
Sing for me
Sing for life, sing for joy
Sing for every man and woman
Girl and boy
Sing a song, a simple melody
Sing out loud or just hum
Sing for moments in the past
And times to come
Sing for history and destiny
Won't you sing for me?
Sing for me"
"Magnus Carlsson";2006;"Lev livet!";"Tror du att jag sitter här
Ensam och förgråten
Du lovar allting jag begär
Om du blir förlåten
(Skyll dig själv)
Du som hade chansen
(Skyll dig själv)
Nu viftar jag på svansen
Kroppen ropar
Lev livet! Varje minut
Lev livet! Till det tar slut
Jag ska samla stunder, nya under
Älska och andas, alla sekunder
Lev livet! Nätter och dar
Lev livet! Livet jag har
Låt det hända och låt det komma
Åh, jag vill, jag vill, jag vill
Alla vackra SMS
Vill jag bara slänga
Dina nummer, din adress, haa
Dom ska jag förtränga, hm
(Skyll dig själv)
Lek med dina minnen
(Skyll dig själv)
Nu svävar mina sinnen
Kroppen ropar
Lev livet! Varje minut
Lev livet! Till det tar slut
Jag ska samla stunder, nya under
Älska och andas, alla sekunder
Lev livet! Nätter och dar
Lev livet! Livet jag har
Låt det hända och låt det komma
Åh, jag vill, jag vill, jag vill
Jag vill lyfta och landa
Jag vill leka med andra
Åh, det kittlar i mig
Och det viskar i mig
Och det ropar i mig, mig
Åh, lev livet! Varje minut
Lev livet! Till det tar slut
Jag ska samla stunder, nya under
Älska och andas, alla sekunder
Lev livet! Nätter och dar
Lev livet! Livet jag har
Låt det hända och låt det komma
Åh, jag vill, jag vill, jag vill
Kroppen ropar, ropar
Ropar på mig!";"Tror du att jag sitter här
Ensam och förgråten
Du lovar allting jag begär
Om du blir förlåten
(Skyll dig själv)
Du som hade chansen
(Skyll dig själv)
Nu viftar jag på svansen
Kroppen ropar
Lev livet! Varje minut
Lev livet! Till det tar slut
Jag ska samla stunder, nya under
Älska och andas, alla sekunder
Lev livet! Nätter och dar
Lev livet! Livet jag har
Låt det hända och låt det komma
Åh, jag vill, jag vill, jag vill
Alla vackra SMS
Vill jag bara slänga
Dina nummer, din adress, haa
Dom ska jag förtränga, hm
(Skyll dig själv)
Lek med dina minnen
(Skyll dig själv)
Nu svävar mina sinnen
Kroppen ropar
Lev livet! Varje minut
Lev livet! Till det tar slut
Jag ska samla stunder, nya under
Älska och andas, alla sekunder
Lev livet! Nätter och dar
Lev livet! Livet jag har
Låt det hända och låt det komma
Åh, jag vill, jag vill, jag vill
Jag vill lyfta och landa
Jag vill leka med andra
Åh, det kittlar i mig
Och det viskar i mig
Och det ropar i mig, mig
Åh, lev livet! Varje minut
Lev livet! Till det tar slut
Jag ska samla stunder, nya under
Älska och andas, alla sekunder
Lev livet! Nätter och dar
Lev livet! Livet jag har
Låt det hända och låt det komma
Åh, jag vill, jag vill, jag vill
Kroppen ropar, ropar
Ropar på mig!"
"The Elephantz";2006;"Oh Yeah";"";""
"Sonya (Sonja Aldén)";2006;"Etymon";"Tonight the sky's on fire
It's burning bright
My soul is flying higher
Towards the light
This is a moment to be free
I've waited all my life to be
A part of lovers mystery
Etymon
Is the word I say to you
Means I always will be true
I will love you endlessly
(Forever and ever)
Etymon
Hear the angels say your name
And my life is not the same
Now I know where love comes from
(Forever and ever)
Etymon
Until the twelfth of never
I wanna be
Right by your side forever
Eternally
And though this love has just begun
I know I'm gonna be the one
That shines on you like morning sun
Etymon
Is the word I say to you
Means I always will be true
I will love you endlessly
(Forever and ever)
Etymon
Hear the angels say your name
And my life is not the same
Now I know where love comes from
(Forever and ever)
Etymon
Etymon
When I try to describe how I feel
That my love is for real
Etymon
Is the word I say to you
Means I always will be true
I will love you endlessly
(Forever and ever)
Etymon
Hear the angels say your name
And my life is not the same
Now I know where love comes from
(Forever and ever)
Etymon
Etymon";"Tonight the sky's on fire
It's burning bright
My soul is flying higher
Towards the light
This is a moment to be free
I've waited all my life to be
A part of lovers mystery
Etymon
Is the word I say to you
Means I always will be true
I will love you endlessly
(Forever and ever)
Etymon
Hear the angels say your name
And my life is not the same
Now I know where love comes from
(Forever and ever)
Etymon
Until the twelfth of never
I wanna be
Right by your side forever
Eternally
And though this love has just begun
I know I'm gonna be the one
That shines on you like morning sun
Etymon
Is the word I say to you
Means I always will be true
I will love you endlessly
(Forever and ever)
Etymon
Hear the angels say your name
And my life is not the same
Now I know where love comes from
(Forever and ever)
Etymon
Etymon
When I try to describe how I feel
That my love is for real
Etymon
Is the word I say to you
Means I always will be true
I will love you endlessly
(Forever and ever)
Etymon
Hear the angels say your name
And my life is not the same
Now I know where love comes from
(Forever and ever)
Etymon
Etymon"
"Östen Med Resten";2006;"Ge mig en kaka till kaffet";"Har ingen fallskärm och dyra vanor
Men jag gör alltid så gott jag kan
Jag festar inte med David Beckham
Jag är en lagom vanlig man
Jag äger inte en ny Ferrari
Har ingen våning i Saint Tropez
Champagne och ostron äts här för sällan
Men jag är lika glad för det
Vad gör det?
Ge mig en kaka till kaffet
Sen så är det bra
Och femti spänn på en skraplott
Är allt vad jag vill ha
Ge mig en koltrast som sjunger
När våren snart är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Ge mig en kaka till kaffet
Sen är jag tillfreds
Om Zlatan sen sätter straffen
Behövs det inget mer
Låt mig få se hur det skymmer
När sommaren är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Om guld och silver och diamanter
Är ett bevis på vad lycka är
Då är väl jag olycklig och fattig
Men jag är lika glad för det
Vad gör det?
Ge mig en kaka till kaffet
Sen så är det bra
Och femti spänn på en skraplott
Är allt vad jag vill ha
Ge mig en koltrast som sjunger
När våren snart är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Ge mig en kaka till kaffet
Sen är jag tillfreds
Om Zlatan sen sätter straffen
Behövs det inget mer
Låt mig få se hur det skymmer
När sommaren är här
Allt jag begär (allt jag begär)
Allt jag begäääär...
Ge mig en kaka till kaffet
Sen så är det bra
Och femti spänn på en skraplott
Är allt vad jag vill ha
Ge mig en koltrast som sjunger
När våren snart är här
Allt jag begär (allt jag begär)
Allt jag begär
Ge mig en kaka till kaffet
Sen är jag tillfreds
Om Zlatan sen sätter straffen
Behövs det inget mer
Låt mig få se hur det skymmer
När sommaren är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Ge mig en kaka till kaffet!";"Har ingen fallskärm och dyra vanor
Men jag gör alltid så gott jag kan
Jag festar inte med David Beckham
Jag är en lagom vanlig man
Jag äger inte en ny Ferrari
Har ingen våning i Saint Tropez
Champagne och ostron äts här för sällan
Men jag är lika glad för det
Vad gör det?
Ge mig en kaka till kaffet
Sen så är det bra
Och femti spänn på en skraplott
Är allt vad jag vill ha
Ge mig en koltrast som sjunger
När våren snart är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Ge mig en kaka till kaffet
Sen är jag tillfreds
Om Zlatan sen sätter straffen
Behövs det inget mer
Låt mig få se hur det skymmer
När sommaren är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Om guld och silver och diamanter
Är ett bevis på vad lycka är
Då är väl jag olycklig och fattig
Men jag är lika glad för det
Vad gör det?
Ge mig en kaka till kaffet
Sen så är det bra
Och femti spänn på en skraplott
Är allt vad jag vill ha
Ge mig en koltrast som sjunger
När våren snart är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Ge mig en kaka till kaffet
Sen är jag tillfreds
Om Zlatan sen sätter straffen
Behövs det inget mer
Låt mig få se hur det skymmer
När sommaren är här
Allt jag begär (allt jag begär)
Allt jag begäääär
Ge mig en kaka till kaffet
Sen så är det bra
Och femti spänn på en skraplott
Är allt vad jag vill ha
Ge mig en koltrast som sjunger
När våren snart är här
Allt jag begär (allt jag begär)
Allt jag begär
Ge mig en kaka till kaffet
Sen är jag tillfreds
Om Zlatan sen sätter straffen
Behövs det inget mer
Låt mig få se hur det skymmer
När sommaren är här
Allt jag begär (allt jag begär)
Allt jag begär (allt jag begär)
Ge mig en kaka till kaffet!"
"Pablo Cepeda";2006;"La chica de la copa";"I'm heated up
You've got me spinning and I can't cool down
Caught me, in your spell
Lifted up, I'm on a higher ground
He's got it going on
Mmm, like I need, no, she will knock you down
Story goes, stop and listen to a fool knows
You can call me a little bit crazy
Trying to make you a part of my destiny
Ending up with a women in every man dreams
She's magical, an angel from the sky
Burning like a spanish fire fly
Impossible just not to fall in love
But she's mine
(La chica de la copa)
Knock me out, took me by surprise
Dancing like a devil in disguise
Impossible not to fall in love
But she's mine
She's mine
(La chica de la copa)
Falling down
Without a notice I was swept away
Her dance goes deep and nice
Mmm, that goes togheter with a perfect smile
You can call me a little bit crazy
Trying to make you a part of my destiny
In the end she will only be dancing with me
She's magical, an angel from the sky
Burning like a spanish fire fly
Impossible just not to fall in love
But she's mine
(La chica de la copa)
Knock me out, took me by surprise
Dancing like a devil in disguise
Impossible not to fall in love
But she's mine
She's mine
(La chica de la copa)
(She's magical, an angel from the sky) From the sky
(Burning like a spanish fire fly) I'm telling you
Impossible just not to fall in love
(La chica de la copa)
Like an angel she was magical
(Knock me out, took me by surprise)
(Dancing like a devil in disguise)
Impossible just not to fall in love
But she's mine
She's mine
She's mine
(La chica de la copa)";"I'm heated up
You've got me spinning and I can't cool down
Caught me, in your spell
Lifted up, I'm on a higher ground
He's got it going on
Mmm, like I need, no, she will knock you down
Story goes, stop and listen to a fool knows
You can call me a little bit crazy
Trying to make you a part of my destiny
Ending up with a women in every man dreams
She's magical, an angel from the sky
Burning like a spanish fire fly
Impossible just not to fall in love
But she's mine
(La chica de la copa)
Knock me out, took me by surprise
Dancing like a devil in disguise
Impossible not to fall in love
But she's mine
She's mine
(La chica de la copa)
Falling down
Without a notice I was swept away
Her dance goes deep and nice
Mmm, that goes togheter with a perfect smile
You can call me a little bit crazy
Trying to make you a part of my destiny
In the end she will only be dancing with me
She's magical, an angel from the sky
Burning like a spanish fire fly
Impossible just not to fall in love
But she's mine
(La chica de la copa)
Knock me out, took me by surprise
Dancing like a devil in disguise
Impossible not to fall in love
But she's mine
She's mine
(La chica de la copa)
(She's magical, an angel from the sky) From the sky
(Burning like a spanish fire fly) I'm telling you
Impossible just not to fall in love
(La chica de la copa)
Like an angel she was magical
(Knock me out, took me by surprise)
(Dancing like a devil in disguise)
Impossible just not to fall in love
But she's mine
She's mine
She's mine
(La chica de la copa)"
"Kikki Danielsson";2006;"I dag & i morgon";"Du, för mig finns bara du
Bara dig som jag ser
Jag vill bara ha mer och mer
Jag vet hur det borde va
Borde va här hos mig
För det är nåt i dig som jag ser
Och i en mycket bättre värld
Så är du alltid här
Idag och imorgon och från och med nu
Det finns ingen annan, det finns bara du
Det enda jag vill är att va där du är
I en mycket bättre värld
Idag och imorgon och hela mitt liv
Det finns inget annat, det finns bara vi
Och vad som än händer och vart du än går
Så finns jag där idag och imorgon ändå
Vi, det borde vara vi
Du och jag varje dag
Det är allt jag vill ha i mitt liv
Och i en mycket bättre värld
(Och i en mycket bättre värld)
Så är du alltid här
Idag och imorgon och från och med nu
Det finns ingen annan, det finns bara du
Det enda jag vill är att va där du är
I en mycket bättre värld
Idag och imorgon och hela mitt liv
Det finns inget annat, det finns bara vi
Och vad som än händer och vart du än går
Så finns jag där idag och imorgon ändå
Idag och imorgon ändå
Jag kommer alltid va här
(Idag och imorgon och från och med nu)
Idag och imorgon
(Det finns ingen annan, det finns bara du)
Det enda jag vill är att va där du är
I en mycket bättre värld
Idag och imorgon och hela mitt liv
Det finns inget annat, det finns bara vi
Och vad som än händer och vart du än går
Så finns jag där idag och imorgon ändå";"Du, för mig finns bara du
Bara dig som jag ser
Jag vill bara ha mer och mer
Jag vet hur det borde va
Borde va här hos mig
För det är nåt i dig som jag ser
Och i en mycket bättre värld
Så är du alltid här
Idag och imorgon och från och med nu
Det finns ingen annan, det finns bara du
Det enda jag vill är att va där du är
I en mycket bättre värld
Idag och imorgon och hela mitt liv
Det finns inget annat, det finns bara vi
Och vad som än händer och vart du än går
Så finns jag där idag och imorgon ändå
Vi, det borde vara vi
Du och jag varje dag
Det är allt jag vill ha i mitt liv
Och i en mycket bättre värld
(Och i en mycket bättre värld)
Så är du alltid här
Idag och imorgon och från och med nu
Det finns ingen annan, det finns bara du
Det enda jag vill är att va där du är
I en mycket bättre värld
Idag och imorgon och hela mitt liv
Det finns inget annat, det finns bara vi
Och vad som än händer och vart du än går
Så finns jag där idag och imorgon ändå
Idag och imorgon ändå
Jag kommer alltid va här
(Idag och imorgon och från och med nu)
Idag och imorgon
(Det finns ingen annan, det finns bara du)
Det enda jag vill är att va där du är
I en mycket bättre värld
Idag och imorgon och hela mitt liv
Det finns inget annat, det finns bara vi
Och vad som än händer och vart du än går
Så finns jag där idag och imorgon ändå"
"Niclas Wahlgren";2006;"En droppe regn";"Såg mot horisonten
Och ingenstans nå'n svalk att få
Människor omkring mig sa vad himmelen är blå
Under sol som bränner
På den jord där jag måste gå
Så kom du som en hägring som en bara ville nå
Du gav mig en droppe regn
Som har ändrat allt, och tusenfalt
Bara en droppe regn
Står min mark i blom, en rikedom..
Åhh
Jag ser dig när du sover
Lycklig att få ha dig bredvid
Du målade en regnbåge som färgade mitt liv
Du gav mig en droppe regn
Som har ändrat allt, och tusenfalt
Bara en droppe regn
Står min mark i blom, en rikedom
(Du gav mig en droppe regn)
Åhh
Som har ändrat allt, tusenfalt
Bara en droppe regn
Står min mark i blom en rikedom
En droppe regn
Som har ändrat allt, och tusenfalt
(Bara en)
En droppe regn
Står min mark i blom, en rikedom
Åhh";"Såg mot horisonten
Och ingenstans nå'n svalk att få
Människor omkring mig sa vad himmelen är blå
Under sol som bränner
På den jord där jag måste gå
Så kom du som en hägring som en bara ville nå
Du gav mig en droppe regn
Som har ändrat allt, och tusenfalt
Bara en droppe regn
Står min mark i blom, en rikedom
Åhh
Jag ser dig när du sover
Lycklig att få ha dig bredvid
Du målade en regnbåge som färgade mitt liv
Du gav mig en droppe regn
Som har ändrat allt, och tusenfalt
Bara en droppe regn
Står min mark i blom, en rikedom
(Du gav mig en droppe regn)
Åhh
Som har ändrat allt, tusenfalt
Bara en droppe regn
Står min mark i blom en rikedom
En droppe regn
Som har ändrat allt, och tusenfalt
(Bara en)
En droppe regn
Står min mark i blom, en rikedom
Åhh"
"Velvet";2006;"Mi Amore";"Heey, yeah, heey
Ohh woah oh
Got the fire, got desire
Won't fight it any longer
Can you see it?
Can you feel it?
And it's coming out stronger
(Ai-ae)
I'm lost into loving you
(Ai-ae)
Go, go, go
Mi amor-amor-amore
Take my heart, take my hand
Amor-amor-amore
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart, mi amore
Oh, mi amore
Mi amore
When you kiss me, when you hold me
When you calling me baby
Then you twist me
Babe you turn me
And it's making me crazy
(Ai-ae)
I'm lost into loving you
(Ai-ae)
Go, go, go
Mi amor-amor-amore
Take my heart, take my hand
Amor-amor-amore
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart, mi amore
(Go, go, go)
Ai-ae
(Go, go, go)
(Go, go, go)
Ohh
Heey, yeah
Run with me
Come with me
Take me away
(Mi amor-amor-amore)
Take my heart, take my hand
(Amor-amor-amore)
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart
(Mi amor-amor-amore)
(Take my heart, take my hand)
Take my heart
(Amor-amor-amore)
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart, mi amore";"Heey, yeah, heey
Ohh woah oh
Got the fire, got desire
Won't fight it any longer
Can you see it?
Can you feel it?
And it's coming out stronger
(Ai-ae)
I'm lost into loving you
(Ai-ae)
Go, go, go
Mi amor-amor-amore
Take my heart, take my hand
Amor-amor-amore
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart, mi amore
Oh, mi amore
Mi amore
When you kiss me, when you hold me
When you calling me baby
Then you twist me
Babe you turn me
And it's making me crazy
(Ai-ae)
I'm lost into loving you
(Ai-ae)
Go, go, go
Mi amor-amor-amore
Take my heart, take my hand
Amor-amor-amore
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart, mi amore
(Go, go, go)
Ai-ae
(Go, go, go)
(Go, go, go)
Ohh
Heey, yeah
Run with me
Come with me
Take me away
(Mi amor-amor-amore)
Take my heart, take my hand
(Amor-amor-amore)
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart
(Mi amor-amor-amore)
(Take my heart, take my hand)
Take my heart
(Amor-amor-amore)
Our love will never end
Fly away with me my angel
From heaven sent
Amor-amor-amore
Take my heart, mi amore"
