"id","artist","artist_wikilink","birthplace","residence","birthyear"
"2010_2_3","Anna-Maria Espinosa","sv.wikipedia.org/wiki/Anna-Maria_Espinosa","","",""
"2010_2_4","Highlights & MiSt","sv.wikipedia.org/wiki/Highlights & sv.wikipedia.org/wiki/MiSt","","",""
"2010_2_5","Pauline","sv.wikipedia.org/wiki/Pauline_Kamusewu","","",""
"2010_2_7","Kalle Moraeus & Orsa Spelmän","sv.wikipedia.org/wiki/Kalle_Moraeus & sv.wikipedia.org/wiki/Orsa_Spelm%C3%A4n","","",""
"2010_2_8","Hanna Lindblad","sv.wikipedia.org/wiki/Hanna_Lindblad","","",""
"2010_3_2","Johannes Bah Kuhnke","sv.wikipedia.org/wiki/Johannes_Bah_Kuhnke","","",""
"2010_3_4","Erik Linder","sv.wikipedia.org/wiki/Erik_Linder","","",""
"2010_3_5","Getty Domein","sv.wikipedia.org/wiki/Getty_Domein_Mpanzu","","",""
"2010_3_6","Timoteij","sv.wikipedia.org/wiki/Timoteij","","",""
"2010_3_7","Darin","sv.wikipedia.org/wiki/Darin","","",""
"2010_3_8","Crucified Barbara","sv.wikipedia.org/wiki/Crucified_Barbara","","",""
"2010_4_2","Py Bäckman","sv.wikipedia.org/wiki/Py_B%C3%A4ckman","","",""
"2010_4_3","NEO","sv.wikipedia.org/wiki/NEO_(artist)","","",""
"2010_4_4","Lovestoned","sv.wikipedia.org/wiki/Lovestoned","","",""
"2010_4_5","Anna Bergendahl","sv.wikipedia.org/wiki/Anna_Bergendahl","","",""
"2010_4_6","Pernilla Wahlgren","sv.wikipedia.org/wiki/Pernilla_Wahlgren","","",""
"2010_4_7","Noll disciplin","","","",""
"2010_4_8","Peter Jöback","sv.wikipedia.org/wiki/Peter_J%C3%B6back","","",""
"2011_1_1","Dilba","sv.wikipedia.org/wiki/Dilba","","",""
"2011_1_2","Swingfly","sv.wikipedia.org/wiki/Swingfly","","",""
"2011_1_4","Jonas Matsson","sv.wikipedia.org/wiki/Jonas_Matsson","","",""
"2011_1_5","Le Kid","sv.wikipedia.org/wiki/Le_Kid","","",""
"2011_1_6","Rasmus Viberg","sv.wikipedia.org/wiki/Rasmus_Viberg","","",""
"2011_1_7","Pernilla Andersson","sv.wikipedia.org/wiki/Pernilla_Andersson","","",""
"2011_1_8","Danny Saucedo","sv.wikipedia.org/wiki/Danny_Saucedo","","",""
"2011_2_1","Brolle","sv.wikipedia.org/wiki/Brolle","","",""
"2011_2_2","Loreen","sv.wikipedia.org/wiki/Loreen","","",""
"2011_2_3","Babsan","sv.wikipedia.org/wiki/Lars-%C3%85ke_Wilhelmsson","","",""
"2011_2_4","Elisabeth Andreassen","sv.wikipedia.org/wiki/Elisabeth_Andreassen","","",""
"2011_2_6","The Moniker","sv.wikipedia.org/wiki/The_Moniker","","",""
"2011_2_7","Anniela","","","",""
"2011_2_8","Christian Walz","sv.wikipedia.org/wiki/Christian_Walz","","",""
"2011_3_1","Linda Sundblad","sv.wikipedia.org/wiki/Linda_Sundblad","","",""
"2011_3_2","Simon Forsberg","sv.wikipedia.org/wiki/Simon_Forsberg","","",""
"2011_3_3","Sara Lumholdt","sv.wikipedia.org/wiki/Sara_Lumholdt","","",""
"2011_3_4","The Playtones","sv.wikipedia.org/wiki/The_Playtones","","",""
"2011_3_5","Shirley's Angels","sv.wikipedia.org/wiki/Shirley%27s_Angels","","",""
"2011_3_7","Sara Varga","sv.wikipedia.org/wiki/Sara_Varga","","",""
"2011_4_1","Melody Club","sv.wikipedia.org/wiki/Melody_Club","","",""
"2011_4_2","Julia Alvgard","sv.wikipedia.org/wiki/Julia_Alvgard","","",""
"2011_4_3","Lasse Stefanz","sv.wikipedia.org/wiki/Lasse_Stefanz","","",""
"2011_4_5","Anders Fernette","sv.wikipedia.org/wiki/Anders_Fernette","","",""
"2011_4_7","Nicke Borg","sv.wikipedia.org/wiki/Nicke_Borg","","",""
"2011_4_8","Love Generation","sv.wikipedia.org/wiki/Love_Generation","","",""
"2012_1_1","Sean Banan","sv.wikipedia.org/wiki/Sean_Banan","","",""
"2012_1_2","Abalone Dots","sv.wikipedia.org/wiki/Abalone_Dots","","",""
"2012_1_5","Dead by April","sv.wikipedia.org/wiki/Dead_by_April","","",""
"2012_1_7","Thorsten Flinck & Revolutionsorkestern","sv.wikipedia.org/wiki/Thorsten_Flinck & sv.wikipedia.org/wiki/Revolutionsorkestern","","",""
"2012_2_1","Ulrik Munther","sv.wikipedia.org/wiki/Ulrik_Munther","","",""
"2012_2_2","Top Cats","sv.wikipedia.org/wiki/Top_Cats","","",""
"2012_2_6","David Lindgren","sv.wikipedia.org/wiki/David_Lindgren","","",""
"2012_2_7","Mimi Oh","sv.wikipedia.org/wiki/Mimi_Oh","","",""
"2012_2_8","Thomas Di Leva","sv.wikipedia.org/wiki/Thomas_Di_Leva","","",""
"2012_3_1","Youngblood","sv.wikipedia.org/wiki/Youngblood_(musikgrupp)","","",""
"2012_3_2","Maria BenHajji","sv.wikipedia.org/wiki/Maria_BenHajji","","",""
"2012_3_3","Mattias Andréasson","sv.wikipedia.org/wiki/Mattias_Andr%C3%A9asson","","",""
"2012_3_5","Carolina Wallin Pérez","sv.wikipedia.org/wiki/Carolina_Wallin_P%C3%A9rez","","",""
"2012_3_8","Björn Ranelid & Sara Li","sv.wikipedia.org/wiki/Bj%C3%B6rn_Ranelid & sv.wikipedia.org/wiki/Sara_Li","","",""
"2012_4_2","OPA","sv.wikipedia.org/wiki/OPA_(musikgrupp)","","",""
"2012_4_3","Dynazty","sv.wikipedia.org/wiki/Dynazty","","",""
"2012_4_4","Lotta Engberg & Christer Sjögren","sv.wikipedia.org/wiki/Lotta_Engberg & sv.wikipedia.org/wiki/Christer_Sj%C3%B6gren","","",""
"2012_4_6","Axel Algmark","sv.wikipedia.org/wiki/Axel_Algmark","","",""
"2012_4_7","Lisa Miskovsky","sv.wikipedia.org/wiki/Lisa_Miskovsky","","",""
"2013_1_3","Jay-Jay Johanson","sv.wikipedia.org/wiki/Jay-Jay_Johanson","","",""
"2013_1_4","Mary N'diaye","sv.wikipedia.org/wiki/Mary_N%27diaye","","",""
"2013_1_5","Eric Gadd","sv.wikipedia.org/wiki/Eric_Gadd","","",""
"2013_1_6","Yohio","sv.wikipedia.org/wiki/Yohio","","",""
"2013_1_7","Anna Järvinen","sv.wikipedia.org/wiki/Anna_J%C3%A4rvinen","","",""
